id,category,name,condition,tier,file
perfect_daily_20,ความแม่นยำ — Perfect Daily,ปรมาจารย์ไร้ที่ติ,ทำ Perfect Daily Quest สะสม 20 ครั้ง,Crown,perfect_daily_20-approved-v9-1024.png
first_qmon_stage_2,การเลี้ยงและวิวัฒนาการ,เพื่อนตัวน้อยถือกำเนิด,Qmon ตัวแรกฟักเป็น Stage 2,Bronze,first_qmon_stage_2-approved-v9-1024.png
first_qmon_stage_3,การเลี้ยงและวิวัฒนาการ,ค้นพบเส้นทางของตน,Qmon ตัวแรกวิวัฒนาการเป็น Stage 3 และค้นพบสาย,Silver,first_qmon_stage_3-approved-v9-1024.png
first_qmon_stage_4,การเลี้ยงและวิวัฒนาการ,เติบโตอย่างภาคภูมิ,Qmon ตัวแรกเติบโตถึง Stage 4,Gold,first_qmon_stage_4-approved-v9-1024.png
first_feeding,การเลี้ยงและวิวัฒนาการ,มื้อแรกแห่งสายสัมพันธ์,ป้อนอาหารให้ Qmon สำเร็จเป็นครั้งแรก,Bronze,first_feeding-approved-v9-1024.png
first_qmon_name,การเลี้ยงและวิวัฒนาการ,ชื่อแรกของเพื่อนเรา,ตั้งชื่อให้ Qmon เป็นครั้งแรก,Bronze,first_qmon_name-approved-v9-1024.png
first_balance_line,สเตตัส Qmon — สายสมดุล,ผู้ค้นพบทางสายกลาง,พัฒนา Qmon เข้าสู่สายสมดุลเป็นครั้งแรก,Silver,first_balance_line-approved-v9-1024.png
balance_stage_4,สเตตัส Qmon — สายสมดุล,ผู้พิทักษ์แห่งสมดุล,เลี้ยง Qmon สายสมดุลจนถึง Stage 4 เป็นครั้งแรก,Gold,balance_stage_4-approved-v9-1024.png
hp_cap,สเตตัส Qmon — ชนเพดาน,พลังชีวิตเต็มเปี่ยม,Qmon Stage 4 มี HP ชนเพดาน,Silver,hp_cap-approved-v9-1024.png
atk_cap,สเตตัส Qmon — ชนเพดาน,พลังโจมตีสูงสุด,Qmon Stage 4 มี ATK ชนเพดาน,Silver,atk_cap-approved-v9-1024.png
def_cap,สเตตัส Qmon — ชนเพดาน,เกราะป้องกันสมบูรณ์,Qmon Stage 4 มี DEF ชนเพดาน,Silver,def_cap-approved-v9-1024.png
two_core_stat_caps,สเตตัส Qmon — ชนเพดาน,สองพลังสูงสุด,Qmon Stage 4 ตัวเดียวชนเพดาน HP/ATK/DEF อย่างน้อย 2 ค่า,Gold,two_core_stat_caps-approved-v9-1024.png
three_core_stat_caps,สเตตัส Qmon — ชนเพดาน,สุดยอดแห่งสามพลัง,"Qmon Stage 4 ตัวเดียวชนเพดาน HP, ATK และ DEF ครบ 3 ค่า",Crown,three_core_stat_caps-approved-v9-1024.png
farm_qmon_1,การสะสม — ฟาร์ม,เปิดประตูสู่ฟาร์ม,ส่ง Qmon Stage 4 เข้าฟาร์ม 1 ตัว,Bronze,farm_qmon_1-approved-v9-1024.png
farm_qmon_5,การสะสม — ฟาร์ม,ฟาร์มเริ่มผลิบาน,มี Qmon Stage 4 ในฟาร์ม 5 ตัว,Silver,farm_qmon_5-approved-v9-1024.png
farm_qmon_10,การสะสม — ฟาร์ม,ฟาร์มแสนคึกคัก,มี Qmon Stage 4 ในฟาร์ม 10 ตัว,Gold,farm_qmon_10-approved-v9-1024.png
farm_qmon_15,การสะสม — ฟาร์ม,ดินแดนแห่งเหล่า Qmon,มี Qmon Stage 4 ในฟาร์ม 15 ตัว,Crown,farm_qmon_15-approved-v9-1024.png
unique_stage4_forms_3,การสะสม — วิวัฒนาการ,ร่องรอยแห่งวิวัฒนาการ,ค้นพบ Qmon Stage 4 ไม่ซ้ำกัน 3 รูปแบบ,Silver,unique_stage4_forms_3-approved-v9-1024.png
unique_stage4_forms_6,การสะสม — วิวัฒนาการ,นักสำรวจสายวิวัฒนาการ,ค้นพบ Qmon Stage 4 ไม่ซ้ำกัน 6 รูปแบบ,Gold,unique_stage4_forms_6-approved-v9-1024.png
unique_stage4_forms_12,การสะสม — วิวัฒนาการ,ผู้เปิดผนึกวิวัฒนาการ,ค้นพบ Qmon Stage 4 ไม่ซ้ำกัน 12 รูปแบบ,Crown,unique_stage4_forms_12-approved-v9-1024.png
adventure_claim_1,Adventure — จำนวนสำเร็จ,ก้าวแรกสู่การผจญภัย,เคลม Adventure สำเร็จสะสม 1 ครั้ง,Bronze,adventure_claim_1-approved-v9-1024.png
adventure_claim_10,Adventure — จำนวนสำเร็จ,นักเดินทางแห่งแดนไกล,เคลม Adventure สำเร็จสะสม 10 ครั้ง,Silver,adventure_claim_10-approved-v9-1024.png
adventure_claim_50,Adventure — จำนวนสำเร็จ,นักสำรวจผู้ช่ำชอง,เคลม Adventure สำเร็จสะสม 50 ครั้ง,Gold,adventure_claim_50-approved-v9-1024.png
adventure_claim_100,Adventure — จำนวนสำเร็จ,เจ้าแห่งการผจญภัย,เคลม Adventure สำเร็จสะสม 100 ครั้ง,Crown,adventure_claim_100-approved-v9-1024.png
adventure_rare_egg_found,Adventure — การค้นพบ,ผู้ค้นพบไข่หายาก,ได้รับไข่ระดับ Rare จาก Adventure เป็นครั้งแรก,Silver,adventure_rare_egg_found-approved-v9-1024.png
gear_obtained_1,อุปกรณ์ — สะสม,ของชิ้นแรก,ได้รับอุปกรณ์สะสมครบ 1 ชิ้น,Bronze,gear_obtained_1-approved-v9-1024.png
gear_obtained_10,อุปกรณ์ — สะสม,นักสะสมมือใหม่,ได้รับอุปกรณ์สะสมครบ 10 ชิ้น,Silver,gear_obtained_10-approved-v9-1024.png
gear_obtained_30,อุปกรณ์ — สะสม,คลังอุปกรณ์,ได้รับอุปกรณ์สะสมครบ 30 ชิ้น,Gold,gear_obtained_30-approved-v9-1024.png
gear_obtained_75,อุปกรณ์ — สะสม,จ้าวแห่งขุมสมบัติ,ได้รับอุปกรณ์สะสมครบ 75 ชิ้น,Crown,gear_obtained_75-approved-v9-1024.png
gear_full_loadout,อุปกรณ์ — สวมใส่,พร้อมออกศึก,สวมอุปกรณ์ให้ Qmon ตัวเดียวครบช่องหัว ตัว และเท้าเป็นครั้งแรก,Silver,gear_full_loadout-approved-v9-1024.png
gear_good_quality_first,อุปกรณ์ — คุณภาพ,ประกายเหนือสามัญ,ได้รับอุปกรณ์คุณภาพดีเป็นครั้งแรก,Silver,gear_good_quality_first-approved-v9-1024.png
gear_best_quality_first,อุปกรณ์ — คุณภาพ,สมบัติล้ำค่า,ได้รับอุปกรณ์คุณภาพดีที่สุดเป็นครั้งแรก,Gold,gear_best_quality_first-approved-v9-1024.png
challenge_easy_first_win,Challenge — ผู้พิชิต,ก้าวแรกของผู้กล้า,ชนะ Challenge ระดับง่ายเป็นครั้งแรก,Bronze,challenge_easy_first_win-approved-v9-1024.png
challenge_medium_first_win,Challenge — ผู้พิชิต,ผู้ฝ่าบททดสอบ,ชนะ Challenge ระดับปานกลางเป็นครั้งแรก,Silver,challenge_medium_first_win-approved-v9-1024.png
challenge_hard_first_win,Challenge — ผู้พิชิต,ผู้พิชิตขีดจำกัด,ชนะ Challenge ระดับยากเป็นครั้งแรก,Gold,challenge_hard_first_win-approved-v9-1024.png
challenge_hard_wins_50,Challenge — ความชำนาญ,เจ้าแห่งบททดสอบ,ชนะ Challenge ระดับยากสะสม 50 ครั้ง,Crown,challenge_hard_wins_50-approved-v9-1024.png
weekly_champion_first,เกียรติยศ — Weekly Leaderboard,ผู้ครองบัลลังก์,ได้อันดับ 1 Weekly Leaderboard และเข้าสู่ Hall of Fame เป็นครั้งแรก,Crown,weekly_champion_first-approved-v9-1024.png
legacy_pioneer_tester,Legacy — ผู้ทดสอบ,ผู้บุกเบิก,เป็นผู้ทดสอบ QuizMon ที่ได้รับการรับรองและมีประวัติใช้งานจริงก่อนวันตัดยอดเพื่อเปิดให้บริการผ่าน App Store/Play Store,Crown,legacy_pioneer_tester-approved-v9-1024.png
